id,nome,email,data_nascimento,cpf,telefone,salario,ativo,ultima_compra,categoria_cliente,observacoes
1,João Guilherme Pimenta,macedoisis@example.org,1962-04-15,795.830.621-03,0500 916 4885,13928.44,True,29/12/2024,ouro,
2,Benício Macedo,da-costamaria-vitoria@example.net,1980-11-17,917.248.035-14,+55 (041) 8623 6531,20340.36,,18/06/2023,ouro,
3,Ana Luiza da Cunha,nunescaio@example.net,2005-11-21,729.145.063-25,+55 (081) 2825 6931,14053.66,,17/02/2024,diamante,
4,João Felipe Moraes,sofialopes@example.net,1945-04-04,731.569.428-55,71 0874-2452,15635.65,True,03/05/2024,diamante,
5,Emanuelly Santos,da-conceicaoeloah@example.org,1996-11-24,710.845.632-07,(051) 6640 8206,6368.12,,05/07/2023,ouro,
6,Sra. Olivia Jesus,cunhamelina@example.net,1960-04-04,204.875.963-74,,21257.6,False,23/06/2023,ouro,Incidunt magnam nobis harum possimus dignissimos.
7,Elisa Pimenta,mendoncajuan@example.org,1964-09-07,401.236.587-80,,12999.85,True,29/08/2023,diamante,Provident odio rerum adipisci sequi mollitia iusto consequuntur.
8,Dra. Anna Liz Garcia,fonsecarhavi@example.org,1998-01-08,751.093.248-32,71 9213-1055,2913.96,sim,28/09/2024,,
9,João Miguel Oliveira,aparecidarhavi@example.com,1961-01-30,647.152.083-26,,19997.46,sim,21/11/2023,,Suscipit praesentium eius qui consectetur similique.
10,Matheus Cardoso,maria-isisgarcia@example.net,2003-04-16,475.013.692-16,+55 11 4928-4911,7776.96,sim,30/07/2024,diamante,
11,Sr. Davi Luiz da Mata,,1980-12-29,735.891.624-73,71 0818-4679,23952.32,True,,ouro,
12,Natália Fonseca,lorena80@example.org,1979-06-15,140.723.985-60,+55 (011) 7235-6498,5728.47,,10/10/2024,prata,Cumque exercitationem eligendi ab.
13,Cauã Vargas,apollo17@example.org,1947-12-09,00000000000,21 2497 6425,,True,19/02/2025,,
14,Dra. Liz Mendonça,luiza58@example.com,1949-08-03,239.086.714-69,+55 (031) 8387-1875,13687.03,,08/08/2024,bronze,
15,Pedro Henrique Castro,qda-mota@example.com,1964-05-14,307.542.916-34,,2102.42,sim,27/10/2024,prata,
16,Gael Henrique Moura,xpinto@example.org,1950-09-20,830.962.754-83,+55 (051) 3655-0036,21827.22,,08/04/2024,,
17,Bianca da Rocha,wandrade@example.com,1949-01-30,00000000000,51 2589 6039,11814.27,sim,,prata,
18,Felipe Casa Grande,mirellamendonca@example.org,1988-11-27,720.135.846-44,(081) 7969 7809,8187.46,True,10/10/2024,diamante,
19,Luara Abreu,oliveiravinicius@example.net,1965-02-22,948.520.173-79,(051) 9000-5263,9758.69,sim,22/08/2024,,Voluptatibus hic sit repellendus sint.
20,Ana Vitória Novaes,ateixeira@example.com,1995-05-04,098.257.341-32,0500 029 0414,17523.81,sim,13/07/2023,bronze,
21,Sra. Lara Viana,ryancirino@example.org,1962-10-17,754.692.381-64,0300 781 0409,2656.31,sim,19/08/2023,bronze,
22,Pedro Miguel Siqueira,carvalhohenry-gabriel@example.com,1962-10-16,729.041.638-40,+55 31 4702-3444,,não,24/12/2023,ouro,Fuga blanditiis temporibus quod quos repellat alias ullam.
23,Pietra da Conceição,rgomes@example.com,1956-08-29,346.792.081-04,+55 84 3096 3592,11255.26,não,30/05/2024,diamante,
24,Juan Ferreira,eduarda32@example.net,1946-06-02,328.751.690-68,0500-847-6417,4435.12,True,02/05/2025,diamante,
25,Bento da Cunha,barrosgael@example.net,2001-12-03,759.438.602-74,+55 71 9664 5860,3315.75,True,27/08/2023,bronze,
26,Dr. Vinicius Barros,qda-paz@example.net,1988-09-06,542.763.980-29,(061) 5632-9724,20912.58,True,02/06/2023,diamante,
27,Samuel Moura,snovais@example.net,1970-05-28,00000000000,0900 753 4587,16751.06,não,22/11/2023,prata,Exercitationem saepe quidem ab perferendis reprehenderit laudantium.
